Column header	Question type	Description	Ontology	Data type	Expected values	Missing values	Blank value	Source columns	Derivative columns	Introduced	Modified	Notes	Remapping
sleep_duration		How long the participant sleeps in the average night?		str	"Less than 5 hours" | "5-6 hours" | "6-7 hours" | "7-8 hours" | "8 or more hours"	Not provided	"Not applicable"						
smoking_frequency	frequency	How often the participant smokes?		str	"Never" | "Rarely (a few times/month)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
softener		Does the participant use fabric softener?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_exclude_dairy		Does the participant exclude dairy from their diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_exclude_nightshades		Does the participant exclude nightshades (eggplant, tomatoes, potatoes) from their diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_exclude_refined_sugars		Does the participant avoid foods with refined sugars?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_fodmap		Does the participant eat a low FODMAP diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_halaal		Does the participant follow a halaal diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_i_do_not_eat_a_specialized_diet		The participant reports not eating a specialized diet		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_kosher		Does the participant follow a Kosher diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_modified_paleo_diet		Does the participant eat a modified paleo diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_other_restrictions_not_described_here		Does the participant has additional dietary restrictions or dietary restrictions not described here?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_paleodiet_or_primal_diet		Does the participant follows a paleo or primal diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_raw_food_diet		Does the participant eats a raw food diet?		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_unspecified		The participant has not answered the question about secialized diet		bool	"true" | "false"	Not provided	"Not applicable"						
specialized_diet_westenprice_or_other_lowgrain_low_processed_fo		Does the participant follows a western price or other low grain, low processed food diet?		bool	"true" | "false"	Not provided	"Not applicable"						
state		The state in which the participant lives		str			"Not applicable"						
subset_age		True/Yes for participants between 20 and 69; column is used to seperate the data into a healthy subset		bool	"true" | "false"	Not provided	"Not applicable"						
subset_antibiotic_history		True/Yes for participants who have not used antibiotic in the past year		bool	"true" | "false"	Not provided	"Not applicable"						
subset_bmi		True/Yes for participants with BMI between 18.5 and 30		bool	"true" | "false"	Not provided	"Not applicable"						
subset_diabetes		True/Yes for participants who do not report having diabetes		bool	"true" | "false"	Not provided	"Not applicable"						
subset_healthy		Describes participants in the "healthy" subset of adults. This is the logical AND of the SUBSET_AGE, SUBSET_ANTIBIOTICS, SUBSET_BMI, SUBSET_DIABETES, and SUBSET_IBD columns. In other words: True if a participant is between 20 and 69 years old, has a BMI between 18.5 and 30, who do not report antibiotic use in more than a year, does not report IBD diagnosis, and does not report diabetes diagnosis.		bool	"true" | "false"	Not provided	"Not applicable"						
subset_ibd		True/Yes for participants who have not been diagnosed with Inflammatory Bowel Disease		bool	"true" | "false"	Not provided	"Not applicable"						
sugar_sweetened_drink_frequency	frequency	How often the participant drinks sweetened drinks (Soda, Juice)		str	"Never" | "Rarely (less than once/week)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
sugary_sweets_frequency	frequency	How often the participant eats sweets.		str	"Never" | "Rarely (less than once/week)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
survey_id		a unique internal identifier		str			"Not applicable"						
taxon_id	mimarks	Refers to the number assigned to the specific metagenome being sampled:					"Not applicable"						
teethbrushing_frequency	frequency	How often the participant reports brushing their teeth		str	"Never" | "Rarely (a few times/month)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
thyroid	medical condition	Does the participant have a thyroid disorder?		str	"I do not have this condition" | "Self-diagnosed" | "Diagnosed by a medical professional (doctor, physician assistant)" | "Diagnosed by an alternative medicine practitioner"	Not provided	"Not applicable"			added October 2014			
title		The name of the project		str	"American Gut Project"		"Not applicable"						
tonsils_removed		Were the participants pharygeal tonsils removed surgically?		bool	"true" | "false" | "Not sure"	Not provided	"Not applicable"						
types_of_plants		Number of plant species eaten in the week prior to sample collection		str	"Less than 5" | "6 to 10" | "11 to 20" | "21 to 30" | "More than 30"	Not provided	"Not applicable"						
vegetable_frequency	frequency	How often the participant eats vegetables		str	"Never" | "Rarely (less than once/week)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
vitamin_b_supplement_frequency	frequency	How often the participant uses a Vitamin B supplement		str	"Never" | "Rarely (a few times/month)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
vitamin_d_supplement_frequency	frequency	How often the participant uses a Vitamin D supplement		str	"Never" | "Rarely (a few times/month)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
vivid_dreams	frequency	Does the participant have vivid dreams? 		str	"Never" | "Rarely (a few times/month)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
weight_change		Has the participants weight has changed more than 10 lbs in the past year?		str	"Decreased more than 10 pounds" | "Remained stable" | "Increased more than 10 pounds"	Not provided	"Not applicable"						
weight_kg		weight in kilograms		int		Not provided	"Not applicable"		bmi | bmi_corrected | bmi_cat | age_corrected | age_cat				
weight_units		the unit of weight (kilograms)		str	"kg"		"Not applicable"						
whole_eggs	frequency	How frequently the participant consumes whole eggs (cooked or uncooked)		str	"Never" | "Rarely (less than once/week)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
whole_grain_frequency	frequency	The frequency with which the participant eats breads or pastas with whole grains		str	"Never" | "Rarely (less than once/week)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"			added October 2014			
